模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
被服管理,被服送洗-送洗明细列表查询,http,/ilogclothing/rest/v1/clothing/pc/sendWash/querySendWashDetailPage,"{""filterKey"":""${code}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-查询可分拣的被服,http,/ilogclothing/rest/v1/clothing/pc/order/page,"{""filterKey"":"""",""typeId"":"""",""departId"":"""",""status"":[""PENDING_SORT""],""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-分拣补录,http,/ilogclothing/rest/v1/clothing/pc/sorting/create,"{""operator"":""${yr_id}"",""operatorTime"":""${date_time}"",""clothes"":[{""id"":""${clothing_id}"",""rfid"":null}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-被服分拣列表,http,/ilogclothing/rest/v1/clothing/pc/sorting/queryPageSorting,"{""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-被服分拣详情,http,/ilogclothing/rest/v1/clothing/sorting/querySortingInfo/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-被服分拣筛选,http,/ilogclothing/rest/v1/clothing/pc/sorting/queryPageSorting,"{""filterKey"":""${orderNo}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-分拣明细列表,http,/ilogclothing/rest/v1/clothing/pc/sorting/querySortingDetail,"{""filterKey"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服分拣-分拣明细列表查询,http,/ilogclothing/rest/v1/clothing/pc/sorting/querySortingDetail,"{""filterKey"":""${code}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-今日统计,http,/ilogclothing/rest/v1/statistics/app/today/overall,,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服申请-新增申请,http,/ilogclothing/rest/v1/clothing/app/applyRecord/add,"{""applicant"":""${yr_id}"",""description"":"""",""applyRecordDetail"":[{""fkMaterialId"":""${materialid}"",""nickName"":""${nickname}"",""code"":""${code}"",""normsCode"":null,""applicationQuantity"":1,""typeId"":""${classcode}""}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服申请-申请列表,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/page,"{""filterKey"":"""",""applyStatus"":null,""processStatus"":"""",""pageNumber"":0,""pageSize"":10}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服申请-申请列表查询,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/page,"{""filterKey"":""${code}"",""applyStatus"":null,""processStatus"":"""",""pageNumber"":0,""pageSize"":10}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服申请-申请详情,http,/ilogclothing/rest/v1/clothing/app/applyRecord/find/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服报废-新增报废,http,/ilogclothing/rest/v1/clothing/app/scrap/createOrder,"{""operator"":""${yr_id}"",""description"":"""",""clothes"":[{""id"":""${id}"",""rfid"":null,""departId"":""${departid}"",""description"":""被服污染"",""files"":[]}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服报废-可报废被服列表,http,/ilogclothing/rest/v1/clothing/pc/scrapped/page,"{""filterKey"":"""",""typeId"":""dd767f9d-e236-4846-a419-7058821d0e7e"",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服报废-被服报废详情,http,/ilogclothing/rest/v1/clothing/app/scrap/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服报废-被服报废列表,http,/ilogclothing/rest/v1/clothing/app/scrap/page,"{""filterKey"":"""",""depart"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服报废-被服报废列表查询,http,/ilogclothing/rest/v1/clothing/app/scrap/page,"{""filterKey"":""${code}"",""depart"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服发放-新增发放,http,/ilogclothing/rest/v1/clothing/pda/grant/createOrder,"{""operator"":""${yr_id}"",""recipient"":""${yr_id}"",""operatorTime"":""${date_time}"",""clothes"":[{""id"":""${clothing_id}"",""rfid"":null}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服发放-被服发放列表,http,/ilogclothing/rest/v1/clothing/pda/grant/page,"{""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服发放-被服发放详情,http,/ilogclothing/rest/v1/clothing/pda/grant/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服发放-被服发放筛选,http,/ilogclothing/rest/v1/clothing/pda/grant/page,"{""filterKey"":""${orderNo}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,移动端-被服发放-查询可发放的被服,http,/ilogclothing/rest/v1/clothing/app/order/page,"{""departId"":"""",""filterKey"":"""",""status"":""PENDING_DIST"",""pageSize"":10,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
